version,nthread_per_block,nstep_per_thread,num_steps,runtime
1_1 basic,1,1,100,0.00031846401
1_3 shared memory and atomic,1,1,100,0.00058982402
1_4 reduction multi stage,1,1,100,0.00049049601
1_1 basic,1,1,100,0.00046387199
1_3 shared memory and atomic,1,1,100,0.00059801602
1_4 reduction multi stage,1,1,100,0.00044339201
1_1 basic,1,1,100,0.00050176001
1_3 shared memory and atomic,1,1,100,0.000375808
1_4 reduction multi stage,1,1,100,0.000101376
1_1 basic,1,1,100,0.00039833599
1_3 shared memory and atomic,1,1,100,0.00044748801
1_4 reduction multi stage,1,1,100,0.00026419199
1_1 basic,1,1,100,0.000328704
1_3 shared memory and atomic,1,1,100,0.00053248
1_4 reduction multi stage,1,1,100,0.00041472
1_1 basic,1,1,100,0.00039628801
1_3 shared memory and atomic,1,1,100,0.00045568001
1_4 reduction multi stage,1,1,100,0.00069120002
1_1 basic,1,1,100,0.00045260799
1_3 shared memory and atomic,1,1,100,0.00043929601
1_4 reduction multi stage,1,1,100,0.00078643203
1_1 basic,1,1,100,0.00046079999
1_3 shared memory and atomic,1,1,100,0.00041164801
1_4 reduction multi stage,1,1,100,0.000309248
1_1 basic,1,1,100,0.000395264
1_3 shared memory and atomic,1,1,100,0.00039936
1_4 reduction multi stage,1,1,100,0.00056524801
1_1 basic,1,1,100,0.000324608
1_3 shared memory and atomic,1,1,100,0.000375808
1_4 reduction multi stage,1,1,100,0.00084070402
1_1 basic,1,64,100,0.000556032
1_3 shared memory and atomic,1,64,100,0.00043212801
1_4 reduction multi stage,1,64,100,0.00055398399
1_1 basic,1,64,100,0.00042188799
1_3 shared memory and atomic,1,64,100,0.000387072
1_4 reduction multi stage,1,64,100,0.00045875201
1_1 basic,1,64,100,0.00044851199
1_3 shared memory and atomic,1,64,100,0.00048025599
1_4 reduction multi stage,1,64,100,0.00052633601
1_1 basic,1,64,100,0.00072089601
1_3 shared memory and atomic,1,64,100,0.00047923201
1_4 reduction multi stage,1,64,100,0.00052531201
1_1 basic,1,64,100,0.000418816
1_3 shared memory and atomic,1,64,100,0.00039423999
1_4 reduction multi stage,1,64,100,0.00063283199
1_1 basic,1,64,100,0.000453632
1_3 shared memory and atomic,1,64,100,0.000672768
1_4 reduction multi stage,1,64,100,0.000564224
1_1 basic,1,64,100,0.000425984
1_3 shared memory and atomic,1,64,100,0.00050278401
1_4 reduction multi stage,1,64,100,0.00095846403
1_1 basic,1,64,100,0.00039731199
1_3 shared memory and atomic,1,64,100,0.000438272
1_4 reduction multi stage,1,64,100,0.001255424
1_1 basic,1,64,100,0.00058163202
1_3 shared memory and atomic,1,64,100,0.000395264
1_4 reduction multi stage,1,64,100,0.000497664
1_1 basic,1,64,100,0.001012736
1_3 shared memory and atomic,1,64,100,0.00032972801
1_4 reduction multi stage,1,64,100,0.00061542398
1_1 basic,1,256,100,0.00046899199
1_3 shared memory and atomic,1,256,100,0.00041779199
1_4 reduction multi stage,1,256,100,0.00050380802
1_1 basic,1,256,100,0.000426976
1_3 shared memory and atomic,1,256,100,0.000427008
1_4 reduction multi stage,1,256,100,0.000391168
1_1 basic,1,256,100,0.00049664
1_3 shared memory and atomic,1,256,100,0.00046387199
1_4 reduction multi stage,1,256,100,0.00056115198
1_1 basic,1,256,100,0.00046489599
1_3 shared memory and atomic,1,256,100,0.00046079999
1_4 reduction multi stage,1,256,100,0.00056831998
1_1 basic,1,256,100,0.00014848
1_3 shared memory and atomic,1,256,100,0.00054476798
1_4 reduction multi stage,1,256,100,0.00085196799
1_1 basic,1,256,100,0.00070860797
1_3 shared memory and atomic,1,256,100,0.00064307201
1_4 reduction multi stage,1,256,100,0.00043622401
1_1 basic,1,256,100,0.00052838397
1_3 shared memory and atomic,1,256,100,0.00046287999
1_4 reduction multi stage,1,256,100,0.000603136
1_1 basic,1,256,100,0.00043724799
1_3 shared memory and atomic,1,256,100,0.00069632
1_4 reduction multi stage,1,256,100,0.00045977601
1_1 basic,1,256,100,0.000571392
1_3 shared memory and atomic,1,256,100,0.00053862399
1_4 reduction multi stage,1,256,100,0.000425984
1_1 basic,1,256,100,0.00057548797
1_3 shared memory and atomic,1,256,100,0.00043008
1_4 reduction multi stage,1,256,100,0.00070656002
1_1 basic,1,1024,100,0.00049049601
1_3 shared memory and atomic,1,1024,100,0.00042495999
1_4 reduction multi stage,1,1024,100,0.00069120002
1_1 basic,1,1024,100,0.00068096
1_3 shared memory and atomic,1,1024,100,0.00063488001
1_4 reduction multi stage,1,1024,100,0.00048435199
1_1 basic,1,1024,100,0.00041779199
1_3 shared memory and atomic,1,1024,100,0.00063180798
1_4 reduction multi stage,1,1024,100,0.00060825598
1_1 basic,1,1024,100,0.00066048002
1_3 shared memory and atomic,1,1024,100,0.00050687999
1_4 reduction multi stage,1,1024,100,0.00053452802
1_1 basic,1,1024,100,0.00048742399
1_3 shared memory and atomic,1,1024,100,0.00046387199
1_4 reduction multi stage,1,1024,100,0.00056934398
1_1 basic,1,1024,100,0.00040550399
1_3 shared memory and atomic,1,1024,100,0.00064819199
1_4 reduction multi stage,1,1024,100,0.00091443199
1_1 basic,1,1024,100,0.00043008
1_3 shared memory and atomic,1,1024,100,0.00050790399
1_4 reduction multi stage,1,1024,100,0.00077414399
