version,nb_thread_per_block,N,M,repeat,runtime
2_1 sequential,1,4,2,100,9e-06
2_2 1_block_1_line,1,4,2,100,0.515202
2_3 multiple_threads_and_atomic,1,4,2,100,0.526306
2_4 shared_memory,1,4,2,100,1.105093
2_1 sequential,1,4,2,100,3e-06
2_2 1_block_1_line,1,4,2,100,0.489331
2_3 multiple_threads_and_atomic,1,4,2,100,0.485763
2_4 shared_memory,1,4,2,100,0.503632
2_1 sequential,1,4,2,100,5e-06
2_2 1_block_1_line,1,4,2,100,0.48378
2_3 multiple_threads_and_atomic,1,4,2,100,0.50555
2_4 shared_memory,1,4,2,100,0.471082
2_1 sequential,1,4,2,100,6e-06
2_2 1_block_1_line,1,4,2,100,0.479687
2_3 multiple_threads_and_atomic,1,4,2,100,0.472757
2_4 shared_memory,1,4,2,100,0.475263
2_1 sequential,1,4,2,100,4e-06
2_2 1_block_1_line,1,4,2,100,0.553654
2_3 multiple_threads_and_atomic,1,4,2,100,0.504096
2_4 shared_memory,1,4,2,100,0.478743
2_1 sequential,1,4,2,100,5e-06
2_2 1_block_1_line,1,4,2,100,0.476025
2_3 multiple_threads_and_atomic,1,4,2,100,0.487232
2_4 shared_memory,1,4,2,100,0.541833
2_1 sequential,1,4,2,100,3e-06
2_2 1_block_1_line,1,4,2,100,0.530789
2_3 multiple_threads_and_atomic,1,4,2,100,0.49544
2_4 shared_memory,1,4,2,100,0.486503
2_1 sequential,1,4,2,100,3e-06
2_2 1_block_1_line,1,4,2,100,0.508844
2_3 multiple_threads_and_atomic,1,4,2,100,0.473065
2_4 shared_memory,1,4,2,100,0.470862
2_1 sequential,1,4,2,100,5e-06
2_2 1_block_1_line,1,4,2,100,0.474974
2_3 multiple_threads_and_atomic,1,4,2,100,0.494069
2_4 shared_memory,1,4,2,100,0.456393
2_1 sequential,1,4,2,100,3e-06
2_2 1_block_1_line,1,4,2,100,0.472812
2_3 multiple_threads_and_atomic,1,4,2,100,0.445695
2_4 shared_memory,1,4,2,100,0.482412
2_1 sequential,32,4,2,100,6e-06
2_2 1_block_1_line,1,4,2,100,0.677509
2_3 multiple_threads_and_atomic,32,4,2,100,0.706561
2_4 shared_memory,32,4,2,100,0.51873
2_1 sequential,32,4,2,100,6e-06
2_2 1_block_1_line,1,4,2,100,0.753741
2_3 multiple_threads_and_atomic,32,4,2,100,0.60938
2_4 shared_memory,32,4,2,100,0.438796
2_1 sequential,32,4,2,100,3e-06
2_2 1_block_1_line,1,4,2,100,0.439426
2_3 multiple_threads_and_atomic,32,4,2,100,0.451831
2_4 shared_memory,32,4,2,100,0.459373
2_1 sequential,32,4,2,100,5e-06
2_2 1_block_1_line,1,4,2,100,0.446665
2_3 multiple_threads_and_atomic,32,4,2,100,0.475775
2_4 shared_memory,32,4,2,100,0.493552
2_1 sequential,32,4,2,100,6e-06
2_2 1_block_1_line,1,4,2,100,0.468653
2_3 multiple_threads_and_atomic,32,4,2,100,0.46473
2_4 shared_memory,32,4,2,100,0.451596
2_1 sequential,32,4,2,100,3e-06
2_2 1_block_1_line,1,4,2,100,0.410275
2_3 multiple_threads_and_atomic,32,4,2,100,0.48051
2_4 shared_memory,32,4,2,100,0.403476
2_1 sequential,32,4,2,100,5e-06
2_2 1_block_1_line,1,4,2,100,0.426358
2_3 multiple_threads_and_atomic,32,4,2,100,0.409448
2_4 shared_memory,32,4,2,100,0.4176
2_1 sequential,32,4,2,100,6e-06
2_2 1_block_1_line,1,4,2,100,0.407803
2_3 multiple_threads_and_atomic,32,4,2,100,0.438477
2_4 shared_memory,32,4,2,100,0.436682
2_1 sequential,32,4,2,100,4e-06
2_2 1_block_1_line,1,4,2,100,0.417235
2_3 multiple_threads_and_atomic,32,4,2,100,0.423218
2_4 shared_memory,32,4,2,100,0.420648
2_1 sequential,32,4,2,100,3e-06
2_2 1_block_1_line,1,4,2,100,0.457336
2_3 multiple_threads_and_atomic,32,4,2,100,0.414631
2_4 shared_memory,32,4,2,100,0.439498
2_1 sequential,64,4,2,100,5e-06
2_2 1_block_1_line,1,4,2,100,0.448334
2_3 multiple_threads_and_atomic,64,4,2,100,0.445421
2_4 shared_memory,64,4,2,100,0.426643
2_1 sequential,64,4,2,100,3e-06
2_2 1_block_1_line,1,4,2,100,0.429815
2_3 multiple_threads_and_atomic,64,4,2,100,0.422128
2_4 shared_memory,64,4,2,100,0.423791
2_1 sequential,64,4,2,100,5e-06
